title_id	name_id
tt0096362	nm0386185
tt0096362	nm0469674
tt0096362	nm5934338
tt0096363	nm0366625
tt0096363	nm4054745
tt0096363	nm0386185
tt0096363	nm0469674
tt0096363	nm5934338
tt0096405	nm0142179
tt0096469	nm0477269
tt0096500	nm0560943
tt0096500	nm3134982
tt0096513	nm1847973
tt0096513	nm0938944
tt0096749	nm0648839
tt0096752	nm0335825
tt0096763	nm0818881
tt0096767	nm0038436
tt0096775	nm1668048
tt0096780	nm0257739
tt0096781	nm0768488
tt0096781	nm0821262
tt0096786	nm0308602
tt0096797	nm0129962
tt0096797	nm0266735
tt0096811	nm0620609
tt0096817	nm0074213
tt0096825	nm0139410
tt0096825	nm0236915
tt0096830	nm0844541
tt0096830	nm1014200
tt0096837	nm2565655
tt0096837	nm0669756
tt0096837	nm0441859
tt0096838	nm0473957
tt0096845	nm0653073
tt0096857	nm0144888
tt0096857	nm0213696
tt0096858	nm0466614
tt0096859	nm0148970
tt0096859	nm0296658
tt0096859	nm0814242
tt0096859	nm0814773
tt0096859	nm0596942
tt0096860	nm0163227
tt0096860	nm0708084
tt0096864	nm0189610
tt0096864	nm0122900
tt0096871	nm0191328
tt0096871	nm0730156
tt0096875	nm0542928
tt0096875	nm0054171
tt0096877	nm0504243
tt0096877	nm0744555
tt0096877	nm0001238
tt0096879	nm0048060
tt0096883	nm0079729
tt0096899	nm0191183
tt0096899	nm0226417
tt0096910	nm0208086
tt0096910	nm0316251
tt0096937	nm0701090
tt0096937	nm0341936
tt0096937	nm0631662
tt0096954	nm0107386
tt0096984	nm0451576
tt0096984	nm0713678
tt0096992	nm0644789
tt0096995	nm0059475
tt0096995	nm0172697
tt0096995	nm0829283
tt0097004	nm0031301
tt0097049	nm0301145
tt0097049	nm0409092
tt0097049	nm0901702
tt0097057	nm3072333
tt0097062	nm0813534
tt0097066	nm0678636
tt0097079	nm0338369
tt0097106	nm0006445
tt0097111	nm0051684
tt0097111	nm0182080
tt0097111	nm0423631
tt0097115	nm0111177
tt0097115	nm0111180
tt0097115	nm0916325
tt0097122	nm0783744
tt0097129	nm0752591
tt0097129	nm1721082
tt0097140	nm1571187
tt0097176	nm0089502
tt0097184	nm0047264
tt0097184	nm0680067
tt0097184	nm0871502
tt0097204	nm0178801
tt0097218	nm0578533
tt0097246	nm0296261
tt0097246	nm0414249
tt0097253	nm0097180
tt0097253	nm0532702
tt0097259	nm0490417
tt0097280	nm0246308
tt0097298	nm0666999
tt0097298	nm0000685
tt0097298	nm0467385
tt0097318	nm0766676
tt0097318	nm0898375
tt0097324	nm0450551
tt0097339	nm0146955
tt0097339	nm0366829
tt0097346	nm0247861
tt0097348	nm0939275
tt0097348	nm0298662
tt0097348	nm2825769
tt0097362	nm9928038
tt0097362	nm1852137
tt0097362	nm0242086
tt0097365	nm0418486
tt0097365	nm0295817
tt0097394	nm0938944
tt0097394	nm0939147
tt0097399	nm0489597
tt0097405	nm0342003
tt0097405	nm0282214
tt0097416	nm0049400
tt0097416	nm0707366
tt0097416	nm0788171
tt0097436	nm0207551
tt0097451	nm0231602
tt0097451	nm0358353
tt0097451	nm0666685
tt0097475	nm0420528
tt0097475	nm0450082
tt0097475	nm0958183
tt0097479	nm0351357
tt0097479	nm0477933
tt0097479	nm0877805
tt0097505	nm0204427
tt0097506	nm0251243
tt0097506	nm0470844
tt0097506	nm0492969
tt0097506	nm0902539
tt0097509	nm0048735
tt0097516	nm0621518
tt0097516	nm0700130
tt0097516	nm0007136
tt0097519	nm0009376
tt0097525	nm0118345
