title_id	name_id
tt0098986	nm0233718
tt0098986	nm0399875
tt0098986	nm0534550
tt0098986	nm0685040
tt0098986	nm0730156
tt0098987	nm0001317
tt0098988	nm0793519
tt0098989	nm0902823
tt0098990	nm0097541
tt0098991	nm0903137
tt0098992	nm0065496
tt0098993	nm0297202
tt0098994	nm0001226
tt0098996	nm0364688
tt0098997	nm0468007
tt0098998	nm0544863
tt0098999	nm0002172
tt0099000	nm0492309
tt0099001	nm0864775
tt0099003	nm0416819
tt0099004	nm0096149
tt0099005	nm0006854
tt0099006	nm0136603
tt0099007	nm3985732
tt0099008	nm0556255
tt0099009	nm0423645
tt0099011	nm0198786
tt0099012	nm0000095
tt0099013	nm0928907
tt0099014	nm0430927
tt0099015	nm0750201
tt0099017	nm0271057
tt0099018	nm0180257
tt0099019	nm0608232
tt0099023	nm0006357
tt0099024	nm0298723
tt0099025	nm0474839
tt0099026	nm0169540
tt0099027	nm0765384
tt0099028	nm0465932
tt0099028	nm0135199
tt0099028	nm0359735
tt0099028	nm0798023
tt0099029	nm0879513
tt0099031	nm0511730
tt0099032	nm0397986
tt0099033	nm0670670
tt0099034	nm0268999
tt0099035	nm0511730
tt0099037	nm0718217
tt0099038	nm0864504
tt0099039	nm0440171
tt0099058	nm0511730
tt0099060	nm0232795
tt0099096	nm0233286
tt0099102	nm0632311
tt0099102	nm0170407
tt0099105	nm0451799
tt0099115	nm0474119
tt0099139	nm0703400
tt0099147	nm0775940
tt0099158	nm0123785
tt0099217	nm0035106
tt0099279	nm0792120
tt0099370	nm0002087
tt0099383	nm0164196
tt0099427	nm0226290
tt0099427	nm0955055
tt0099457	nm0092372
tt0099526	nm0339264
tt0099530	nm0144758
tt0099542	nm0578162
tt0099580	nm0410769
tt0099661	nm0000473
tt0099727	nm0115185
tt0099727	nm0000177
tt0099744	nm0369251
tt0099745	nm0767054
tt0099746	nm0837657
tt0099781	nm0085457
tt0099811	nm0463926
tt0099835	nm0267064
tt0099851	nm0487567
tt0099952	nm0694341
tt0099971	nm0492722
tt0099992	nm0080943
tt0100155	nm0934508
tt0100216	nm0222319
tt0100255	nm0817811
tt0100316	nm0561879
tt0100370	nm0076679
tt0100406	nm0165965
tt0100439	nm0426183
tt0100474	nm0092380
tt0100482	nm0196797
tt0100482	nm0253727
tt0100492	nm0389263
tt0100578	nm0427880
tt0100580	nm0204209
tt0100642	nm0926688
tt0100658	nm0426183
tt0100664	nm0659454
tt0100710	nm0955195
tt0100718	nm0002573
tt0100718	nm0918873
tt0100724	nm0810200
tt0100748	nm0089777
